날짜,시가,고가,저가,종가,엔상1,엔상2,엔상3,엔상4,엔상5,엔하1,엔하2,엔하3,엔하4,엔하5,피4,피5,V1,V2
2024/10/30,59100,59800,58600,59100,59105.8823529412,60713.025210084,62498.025210084,64194.0966386555,65890.1680672269,53100,57498.7394957983,55713.7394957983,54017.6680672269,52321.5966386555,57998.75,58503.3653846154,59954.4467224904,59736.9547233906
2024/10/29,58000,59600,57300,59600,59194.1176470588,60805.5462184874,62601.2605042017,64304.8319327731,66008.4033613445,53600,57582.6890756303,55786.974789916,54083.4033613445,52379.8319327731,58005,58517.3076923077,60437.4940265732,60094.531691477
2024/10/28,55700,58500,55700,58100,59294.1176470588,60904.8319327731,62725.5462184874,64441.2605042017,66156.974789916,53600,57683.4033613445,55862.6890756303,54146.974789916,52431.2605042017,57821.25,58496.6346153846,61162.067532561,60544.7789707293
2024/10/25,56000,56900,55800,55900,59494.1176470588,61115.5462184874,62952.6890756303,64681.974789916,66411.2605042017,54200,57872.6890756303,56035.5462184874,54306.2605042017,52576.974789916,57998.75,58668.75,61771.0747992253,60975.1560540923
2024/10/24,58200,58500,56600,56600,59982.3529411765,61619.4957983193,63465.2100840336,65206.6386554622,66948.0672268908,55500,58345.2100840336,56499.4957983193,54758.0672268908,53016.6386554622,58647.5,59183.6538461538,61746.4678889356,61070.9395517864
2024/10/23,57500,60000,57100,59100,60458.8235294118,62116.6806722689,63965.2521008403,65718.4663865546,67471.6806722689,56300,58800.9663865546,56952.3949579832,55199.1806722689,53445.9663865546,59220,59600,61637.7118267243,61112.494064976
2024/10/22,58800,58900,57700,57700,60641.1764705882,62325.462184874,64186.1764705882,65958.6764705882,67731.1764705882,58300,58956.8907563025,57096.1764705882,55323.6764705882,53551.1764705882,59272.5,59697.1153846154,62033.0419526747,61397.9691780236
2024/10/21,59000,59600,58500,59000,60964.7058823529,62682.5630252101,64543.9915966387,66333.6344537815,68123.2773109244,57900,59246.8487394958,57385.4201680672,55595.7773109244,53806.1344537815,59677.5,59918.2692307692,62144.7210348883,61603.6580522114
2024/10/18,59900,60100,59100,59200,61176.4705882353,62922.1848739496,64781.4705882353,66583.9705882353,68386.4705882353,56000,59430.756302521,57571.4705882353,55768.9705882353,53966.4705882353,59938.75,60199.5192307692,62661.628107088,62113.5041755893
2024/10/17,59400,60100,59100,59700,61400,63170,65020.7142857143,66831.0714285714,68641.4285714286,56400,59630,57779.2857142857,55968.9285714286,54158.5714285714,60061.25,60523.5576923077,63038.1516766102,62490.0147456314
2024/10/16,59400,60000,59200,59500,61600,63385,65223.5714285714,67035.3571428571,68847.1428571429,55300,59815,57976.4285714286,56164.6428571429,54352.8571428571,60037.5,60675.9615384615,63443.2034162366,62857.388480416
2024/10/15,61100,61400,60100,61000,61888.2352941177,63683.9495798319,65508.2352941177,67318.2352941177,69128.2352941177,56300,60092.5210084034,58268.2352941177,56458.2352941177,54648.2352941177,60230,60930.7692307692,63766.6764602419,63197.0762605996
2024/10/14,59500,61200,59400,60800,62200,64020.7142857143,65817.1428571429,67625.7142857143,69434.2857142857,56700,60379.2857142857,58582.8571428571,56774.2857142857,54965.7142857143,60261.25,61023.5576923077,64445.3258044083,63701.5680763818
2024/10/11,59100,60100,59000,59300,62441.1764705882,64278.3193277311,66046.8907563025,67849.7478991597,69652.6050420168,53500,60604.0336134454,58835.462184874,57032.6050420168,55229.7478991597,60453.75,61320.6730769231,65261.4542955936,64308.2340368969
2024/10/10,60100,60200,58900,58900,62847.0588235294,64692.7731092437,66442.7731092437,68240.6302521009,70038.487394958,49900,61001.3445378151,59251.3445378151,57453.487394958,55655.6302521008,60991.25,61804.3269230769,65680.6359796508,64690.2913138393
2024/10/08,60000,61000,59900,60300,63352.9411764706,65201.512605042,66938.6554621849,68731.512605042,70524.3697478992,50600,61504.3697478992,59767.2268907563,57974.3697478992,56181.512605042,61457.5,62222.1153846154,66058.4558684426,65152.3388789978
2024/10/07,60200,61900,59500,61000,63858.8235294118,65719.5378151261,67425.2521008403,69208.4663865546,70991.6806722689,53000,61998.1092436975,60292.3949579832,58509.1806722689,56725.9663865546,62028.75,62634.1346153846,66727.6500502275,65811.1079102115
2024/10/04,61000,61700,60500,60600,64329.4117647059,66190.8403361345,67864.4117647059,69631.9117647059,71399.4117647059,55000,62467.9831932773,60794.4117647059,59026.9117647059,57259.4117647059,62498.75,62884.1346153846,67379.4248766305,66404.3505681162
2024/10/02,60500,61900,59900,61300,64882.3529411765,66741.6386554622,68392.3529411765,70147.3529411765,71902.3529411765,57000,63023.0672268908,61372.3529411765,59617.3529411765,57862.3529411765,62808.75,63249.5192307692,67844.661121906,66915.0783775625
2024/09/30,64200,64300,61500,61500,65541.1764705882,67391.8907563025,69028.3193277311,70771.8907563025,72515.462184874,57500,63690.462184874,62054.0336134454,60310.462184874,58566.8907563025,63111.25,63600.4807692308,68504.5132215131,67615.3392764971
2024/09/27,64700,65400,64200,64200,66300,68138.5714285714,69761.4285714286,71492.1428571429,73222.8571428571,57300,64461.4285714286,62838.5714285714,61107.8571428571,59377.1428571429,63402.5,64066.3461538462,68954.619345861,68176.9252950861
2024/09/26,63900,64900,63700,64700,66894.1176470588,68718.4033613445,70351.974789916,72080.9033613445,73809.8319327731,57600,65069.8319327731,63436.2605042017,61707.3319327731,59978.4033613445,63413.75,64382.2115384615,70019.9760735066,69052.1796752185
2024/09/25,63800,64200,62200,62200,67441.1764705882,69237.6050420168,70906.1764705882,72638.6764705882,74371.1764705882,58700,65644.7478991597,63976.1764705882,62243.6764705882,60511.1764705882,63266.25,64598.5576923077,71443.9654778344,70140.806337922
2024/09/24,62800,63400,62400,63200,68276.4705882353,70045.0420168067,71805.756302521,73570.3991596639,75335.0420168067,58300,66507.8991596639,64747.1848739496,62982.5420168067,61217.8991596639,63736.25,65244.7115384615,72469.6337357456,71104.85305965
2024/09/23,62300,63500,62200,62600,69017.6470588235,70767.6470588235,72636.218487395,74445.5042016807,76254.7899159664,59200,67267.6470588235,65399.0756302521,63589.7899159664,61780.5042016807,64315,65944.2307692308,73759.1106351035,72233.5573270286
2024/09/20,63800,64700,63000,63000,69811.7647058824,71548.9075630252,73533.1932773109,75393.9075630252,77254.6218487395,59100,68074.6218487395,66090.3361344538,64229.6218487395,62368.9075630252,64938.75,66787.9807692308,74798.8785973574,73219.1026256584
